headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
Richard Jefferson pens essay to Cavs' fans ahead of Game 6,2016-06-17,"['richard', 'jefferson', 'pen', 'essay', 'cavs', 'fan', 'ahead', 'game', '6']",0,0,0
Bucks to break ground on new arena Saturday,2016-06-17,"['buck', 'break', 'ground', 'new', 'arena', 'saturday']",0,0,0
Blazers hire Calabro as new play-by-play announcer,2016-06-17,"['blazer', 'hire', 'calabro', 'new', 'playbyplay', 'announcer']",0,0,0
Can Curry overcome controversy and avoid a Warriors collapse?,2016-06-17,"['curry', 'overcome', 'controversy', 'avoid', 'warrior', 'collapse']",0,0,2
"Cavs' Irving hurts foot, expects to play Game 7",2016-06-17,"['cavs', 'irving', 'hurt', 'foot', 'expects', 'play', 'game', '7']",0,0,0
Gasol considers freezing sperm because of Zika,2016-06-17,"['gasol', 'considers', 'freezing', 'sperm', 'zika']",0,0,0
Curry ejected in Warriors' loss; Kerr rips refs,2016-06-17,"['curry', 'ejected', 'warrior', 'loss', 'kerr', 'rip', 'ref']",0,0,2
LeBron's inspired performance drives Cavs to Game 7,2016-06-17,"['lebrons', 'inspired', 'performance', 'drive', 'cavs', 'game', '7']",0,0,0
"LeBron-led Cavs upend Warriors, force Game 7",2016-06-17,"['lebronled', 'cavs', 'upend', 'warrior', 'force', 'game', '7']",0,0,2
Sager calls cancer survivor Conner before Finals,2016-06-17,"['sager', 'call', 'cancer', 'survivor', 'conner', 'final']",0,0,0
Social media reaction from Cavs' Game 6 victory,2016-06-17,"['social', 'medium', 'reaction', 'cavs', 'game', '6', 'victory']",0,0,0
5-on-5 predictions: Cavs force Game 7?,2016-06-16,"['5on5', 'prediction', 'cavs', 'force', 'game', '7']",0,0,0
Australia basketball team to play Pac-12 team,2016-06-16,"['australia', 'basketball', 'team', 'play', 'pac12', 'team']",0,0,0
Bill Walton rooting from afar ahead of Game 6,2016-06-16,"['bill', 'walton', 'rooting', 'afar', 'ahead', 'game', '6']",0,0,0
Washington pleads not guilty to fraud charges,2016-06-16,"['washington', 'pleads', 'guilty', 'fraud', 'charge']",0,0,0
Finalists named for Sports Humanitarian honor,2016-06-16,"['finalist', 'named', 'sport', 'humanitarian', 'honor']",0,0,0
In defense of Love: LeBron compares role to Bosh's in 2013,2016-06-16,"['defense', 'love', 'lebron', 'compare', 'role', 'bosh', '2013']",0,0,0
Warriors' Bogut out rest of Finals with hurt knee,2016-06-16,"['warrior', 'bogut', 'rest', 'final', 'hurt', 'knee']",0,0,2
Tyronn Lue finds the right words to keep Cavs going,2016-06-16,"['tyronn', 'lue', 'find', 'right', 'word', 'keep', 'cavs', 'going']",0,0,0
"Warriors' Green: If I played Game 5, it'd be over",2016-06-16,"['warrior', 'green', 'played', 'game', '5', 'itd']",0,0,2
#NBArank: Best Finals Games,2016-06-16,"['nbarank', 'best', 'final', 'game']",0,0,0
Sources: Cavaliers' Smith to test free agency,2016-06-16,"['source', 'cavalier', 'smith', 'test', 'free', 'agency']",0,1,0
China's Wanda Group strikes deal with FIBA,2016-06-16,"['china', 'wanda', 'group', 'strike', 'deal', 'fiba']",0,1,0
Cleveland Cavaliers get Crying Jordan'd,2016-06-15,"['cleveland', 'cavalier', 'get', 'cry', 'jordand']",0,0,0
"Longtime Blazers broadcasters Barrett, Rice won't return",2016-06-15,"['longtime', 'blazer', 'broadcaster', 'barrett', 'rice', 'wont', 'return']",0,0,0
New England local carves 'World Championship Tree' in honor of Boston sports,2016-06-15,"['new', 'england', 'local', 'carves', 'world', 'championship', 'tree', 'honor', 'boston', 'sport']",0,0,0
Uni Watch: The Kings continue their makeover,2016-06-15,"['uni', 'watch', 'king', 'continue', 'makeover']",0,0,0
Paul George names new dog after Kobe Bryant,2016-06-15,"['paul', 'george', 'name', 'new', 'dog', 'kobe', 'bryant']",0,0,0
Time for Sixers to trade Jahlil Okafor?,2016-06-15,"['time', 'sixer', 'trade', 'jahlil', 'okafor']",0,0,0
Curry game-used mouthguard up for auction,2016-06-15,"['curry', 'gameused', 'mouthguard', 'auction']",0,0,0
Grizzlies G Adams getting cartilage transplant,2016-06-15,"['grizzly', 'g', 'adam', 'getting', 'cartilage', 'transplant']",0,0,0
Seahawks' Carroll: Robinson has lot of work to do,2016-06-15,"['seahawks', 'carroll', 'robinson', 'lot', 'work']",0,0,0
Sources: Wolves interested in trading for Butler,2016-06-15,"['source', 'wolf', 'interested', 'trading', 'butler']",0,1,0
Gigantic mural of Steven Adams painted in Oklahoma City,2016-06-15,"['gigantic', 'mural', 'steven', 'adam', 'painted', 'oklahoma', 'city']",0,0,0
Report: Cavs' Williams to exercise contract option,2016-06-15,"['report', 'cavs', 'williams', 'exercise', 'contract', 'option']",0,0,0
City OKs tax incentives for Jazz arena upgrade,2016-06-14,"['city', 'ok', 'tax', 'incentive', 'jazz', 'arena', 'upgrade']",0,0,0
Two words LeBron put in Kyrie Irving's head came true in Game 5,2016-06-14,"['two', 'word', 'lebron', 'put', 'kyrie', 'irving', 'head', 'came', 'true', 'game', '5']",0,0,0
The look of Love can be frightening,2016-06-14,"['look', 'love', 'frightening']",0,0,0
Source: Seahawks try out ex-NBAer N. Robinson,2016-06-14,"['source', 'seahawks', 'try', 'exnbaer', 'n', 'robinson']",0,0,0
#NBArank Best Finals Games: Pelton's top 5 includes game that never ended,2016-06-14,"['nbarank', 'best', 'final', 'game', 'peltons', 'top', '5', 'includes', 'game', 'never', 'ended']",0,0,0
"Kyrie, LeBron go 'old school' to keep Cavs alive",2016-06-14,"['kyrie', 'lebron', 'go', 'old', 'school', 'keep', 'cavs', 'alive']",0,0,0
Clippers assistant coach Kevin Eastman retires,2016-06-14,"['clipper', 'assistant', 'coach', 'kevin', 'eastman', 'retires']",0,0,0
"Warriors' Bogut sprains knee, set to undergo MRI",2016-06-14,"['warrior', 'bogut', 'sprain', 'knee', 'set', 'undergo', 'mri']",0,0,2
Warriors say Green absence no excuse for loss,2016-06-14,"['warrior', 'say', 'green', 'absence', 'excuse', 'loss']",0,0,2
"Kyrie, LeBron each tally 41 as Cavs win Game 5",2016-06-14,"['kyrie', 'lebron', 'tally', '41', 'cavs', 'win', 'game', '5']",0,0,0
Warriors' Green watches Game 5 at A's stadium,2016-06-14,"['warrior', 'green', 'watch', 'game', '5', 'stadium']",0,0,2
Social reaction to Kyrie Irving's 41-point game,2016-06-14,"['social', 'reaction', 'kyrie', 'irving', '41point', 'game']",0,0,0
Rondo: Tension-filled Kings never jelled as team,2016-06-14,"['rondo', 'tensionfilled', 'king', 'never', 'jelled', 'team']",0,0,0
"Sources: Kidd agrees to 3-year, $18M extension",2016-06-13,"['source', 'kidd', 'agrees', '3year', '18m', 'extension']",0,1,0
What's the outlook for Cavs in Game 5?,2016-06-13,"['whats', 'outlook', 'cavs', 'game', '5']",0,0,0
Don't just call the Warriors a bunch of jump-shooters,2016-06-13,"['dont', 'call', 'warrior', 'bunch', 'jumpshooters']",0,0,2
Pistons extend contract of GM Jeff Bower,2016-06-13,"['piston', 'extend', 'contract', 'gm', 'jeff', 'bower']",0,0,0
Kyrie Irving wrecking Cavs' title chances?,2016-06-13,"['kyrie', 'irving', 'wrecking', 'cavs', 'title', 'chance']",0,0,0
LeBron says shooting 'puts things in perspective',2016-06-13,"['lebron', 'say', 'shooting', 'put', 'thing', 'perspective']",0,0,0
Expect Green's suspension to bring out best in Warriors,2016-06-13,"['expect', 'green', 'suspension', 'bring', 'best', 'warrior']",0,0,2
Klay on LeBron: Guess his feelings just got hurt,2016-06-13,"['klay', 'lebron', 'guess', 'feeling', 'got', 'hurt']",0,0,0
"With Draymond Green suspended, who wins Cavs-Warriors Game 5?",2016-06-12,"['draymond', 'green', 'suspended', 'win', 'cavswarriors', 'game', '5']",0,0,2
Steph Curry wears ridiculed shoes to practice,2016-06-12,"['steph', 'curry', 'wear', 'ridiculed', 'shoe', 'practice']",0,0,0
Durant offered cabinet post to stay with Thunder,2016-06-12,"['durant', 'offered', 'cabinet', 'post', 'stay', 'thunder']",0,0,0
Sources: Clips moving Frank to front office,2016-06-12,"['source', 'clip', 'moving', 'frank', 'front', 'office']",0,1,0
Lue fined $25K for criticizing refs after Game 4,2016-06-12,"['lue', 'fined', '25k', 'criticizing', 'ref', 'game', '4']",0,0,0
Sources: Warriors worry about Green suspension,2016-06-12,"['source', 'warrior', 'worry', 'green', 'suspension']",0,1,2
Magic asks Lakers to eliminate honorary VP title,2016-06-12,"['magic', 'asks', 'lakers', 'eliminate', 'honorary', 'vp', 'title']",0,0,0
"Curry defends 'Chef' shoes, says they're 'fire'",2016-06-11,"['curry', 'defends', 'chef', 'shoe', 'say', 'theyre', 'fire']",0,0,0
Doubters abound as Kevin Love absorbs the blows of critics,2016-06-11,"['doubter', 'abound', 'kevin', 'love', 'absorbs', 'blow', 'critic']",0,0,0
"Game 4 viewership down, with new Finals sked",2016-06-11,"['game', '4', 'viewership', 'new', 'final', 'sked']",0,0,0
Lue laments officiating: LeBron never gets calls,2016-06-11,"['lue', 'lament', 'officiating', 'lebron', 'never', 'get', 'call']",0,0,0
"Westbrook, Harden won't play in Rio Olympics",2016-06-11,"['westbrook', 'harden', 'wont', 'play', 'rio', 'olympics']",0,0,0
"Kerr, Warriors stay true to their words",2016-06-11,"['kerr', 'warrior', 'stay', 'true', 'word']",0,0,2
Three charts on a record-setting night for Curry and the Warriors,2016-06-11,"['three', 'chart', 'recordsetting', 'night', 'curry', 'warrior']",0,0,2
Love OK'd to play in Game 4; comes off bench,2016-06-11,"['love', 'okd', 'play', 'game', '4', 'come', 'bench']",0,0,0
Former UTSA coach Thompson dies at age 45,2016-06-11,"['former', 'utsa', 'coach', 'thompson', 'dy', 'age', '45']",0,0,0
Nick Young had the most Nick Young reaction possible to Game 4,2016-06-10,"['nick', 'young', 'nick', 'young', 'reaction', 'possible', 'game', '4']",0,0,0
Wolves' Wiggins pulls out of Olympic qualifying,2016-06-10,"['wolf', 'wiggins', 'pull', 'olympic', 'qualifying']",0,0,0
Have the Cavs figured the Warriors out?,2016-06-10,"['cavs', 'figured', 'warrior']",0,0,2
"Seeking better form, Curry to give 'spirited effort'",2016-06-10,"['seeking', 'better', 'form', 'curry', 'give', 'spirited', 'effort']",0,0,0
Kerr called Warriors 'soft' with one goal in mind,2016-06-10,"['kerr', 'called', 'warrior', 'soft', 'one', 'goal', 'mind']",0,0,2
LeBron: Ball in Lue's court on if Love should start,2016-06-10,"['lebron', 'ball', 'lues', 'court', 'love', 'start']",0,0,0
Source: Cousins makes Team USA for Rio Games,2016-06-10,"['source', 'cousin', 'make', 'team', 'usa', 'rio', 'game']",0,0,0
Teague says he played with torn patellar tendon,2016-06-10,"['teague', 'say', 'played', 'torn', 'patellar', 'tendon']",0,0,0
"Love participates in shootaround, status still TBD",2016-06-10,"['love', 'participates', 'shootaround', 'status', 'still', 'tbd']",0,0,0
#NBArank Best Finals Games: Pelton's Nos. 11-15,2016-06-10,"['nbarank', 'best', 'final', 'game', 'peltons', 'no', '1115']",0,0,0
Predictions: Can Cavs catch Warriors in Game 4?,2016-06-10,"['prediction', 'cavs', 'catch', 'warrior', 'game', '4']",0,0,2
Time for Warriors to stop fooling around,2016-06-10,"['time', 'warrior', 'stop', 'fooling', 'around']",0,0,2
"KD, Harden hang; Rockets not in play, sources say",2016-06-10,"['kd', 'harden', 'hang', 'rocket', 'play', 'source', 'say']",0,1,0
Green believes Warriors got 'punked' in Game 3,2016-06-10,"['green', 'belief', 'warrior', 'got', 'punked', 'game', '3']",0,0,2
#NBArank Best Finals Games: Pelton's Nos. 21-25,2016-06-10,"['nbarank', 'best', 'final', 'game', 'peltons', 'no', '2125']",0,0,0
#NBArank Best Finals Games: Pelton's Nos. 16-20,2016-06-10,"['nbarank', 'best', 'final', 'game', 'peltons', 'no', '1620']",0,0,0
Draft buzz: Should Lakers pass on Ingram?,2016-06-10,"['draft', 'buzz', 'lakers', 'pas', 'ingram']",0,0,0
"Ingram works out for Lakers, says he's bulking up",2016-06-09,"['ingram', 'work', 'lakers', 'say', 'he', 'bulking']",0,0,0
Ratings for Game 3 of Finals down after rout,2016-06-09,"['rating', 'game', '3', 'final', 'rout']",0,0,0
"McMillan to keep Burke, Jones on Pacers' staff",2016-06-09,"['mcmillan', 'keep', 'burke', 'jones', 'pacer', 'staff']",0,0,0
Ben Simmons in action: Workout confidential,2016-06-09,"['ben', 'simmons', 'action', 'workout', 'confidential']",0,0,0
Bogut says people calling Love soft are 'idiots',2016-06-09,"['bogut', 'say', 'people', 'calling', 'love', 'soft', 'idiot']",0,0,0
Cavs assistant's tirade fueled team in Game 3,2016-06-09,"['cavs', 'assistant', 'tirade', 'fueled', 'team', 'game', '3']",0,0,0
How J.R. Smith's daughter made him a better player,2016-06-09,"['jr', 'smith', 'daughter', 'made', 'better', 'player']",0,0,0
Bucks name Justin Zanik assistant GM,2016-06-09,"['buck', 'name', 'justin', 'zanik', 'assistant', 'gm']",0,0,0
Calipari: 76ers should take UK's Murray No. 1,2016-06-09,"['calipari', '76ers', 'take', 'uk', 'murray', '1']",0,0,0
Visualizing the coaching tricks that unleash Curry and LeBron,2016-06-09,"['visualizing', 'coaching', 'trick', 'unleash', 'curry', 'lebron']",0,0,0
Star contrast: LeBron grows brighter while Curry seems to fade,2016-06-09,"['star', 'contrast', 'lebron', 'grows', 'brighter', 'curry', 'seems', 'fade']",0,0,0
Sources: Griffin to take Williams' spot for OKC,2016-06-09,"['source', 'griffin', 'take', 'williams', 'spot', 'okc']",0,1,0
Warriors' Thompson calls Mozgov pick 'dirty',2016-06-09,"['warrior', 'thompson', 'call', 'mozgov', 'pick', 'dirty']",0,0,2
"Silver to seek end of Hack-a-Shaq, cites surge",2016-06-09,"['silver', 'seek', 'end', 'hackashaq', 'cite', 'surge']",0,0,0
Charles Barkley remains bullish on the Cavs,2016-06-09,"['charles', 'barkley', 'remains', 'bullish', 'cavs']",0,0,0
"LeBron, Kyrie combine for 62 in Game 3 rout",2016-06-09,"['lebron', 'kyrie', 'combine', '62', 'game', '3', 'rout']",0,0,0
Cavs start LeBron at PF to go small with Love out,2016-06-08,"['cavs', 'start', 'lebron', 'pf', 'go', 'small', 'love']",0,0,0
Andre Drummond viciously rejects kid's shot in Denmark,2016-06-08,"['andre', 'drummond', 'viciously', 'reject', 'kid', 'shot', 'denmark']",0,0,0
"Bickerstaff, Van Exel join Fizdale's Grizzlies staff",2016-06-08,"['bickerstaff', 'van', 'exel', 'join', 'fizdales', 'grizzly', 'staff']",0,0,0
The Cavs must get serious or get laughed off the court,2016-06-08,"['cavs', 'must', 'get', 'serious', 'get', 'laughed', 'court']",0,0,0
Pelicans hire Ferry 2 years after Hawks scandal,2016-06-08,"['pelican', 'hire', 'ferry', '2', 'year', 'hawk', 'scandal']",0,0,0
Griz's Carter wins Teammate of the Year award,2016-06-08,"['grizs', 'carter', 'win', 'teammate', 'year', 'award']",0,0,0
Curry says he just wants a Warrior to win MVP,2016-06-08,"['curry', 'say', 'want', 'warrior', 'win', 'mvp']",0,0,0
Sources: Knicks working on Rambis contract,2016-06-08,"['source', 'knicks', 'working', 'rambis', 'contract']",0,1,0
"Jazz G Burks has knee, ankle surgery",2016-06-08,"['jazz', 'g', 'burk', 'knee', 'ankle', 'surgery']",0,0,0
#NBArank Best Finals Games: Spurs reach perfection,2016-06-08,"['nbarank', 'best', 'final', 'game', 'spur', 'reach', 'perfection']",0,0,0
#NBArank Best Finals Games: Ray Allen rescues Heat with corner 3,2016-06-08,"['nbarank', 'best', 'final', 'game', 'ray', 'allen', 'rescue', 'heat', 'corner', '3']",0,0,0
#NBArank Best Finals Games: Michael Jordan's flu game,2016-06-08,"['nbarank', 'best', 'final', 'game', 'michael', 'jordan', 'flu', 'game']",0,0,0
#NBArank Best Finals Games: Magic dominates at center,2016-06-08,"['nbarank', 'best', 'final', 'game', 'magic', 'dominates', 'center']",0,0,0
#NBArank Best Finals Games: Kobe takes over,2016-06-08,"['nbarank', 'best', 'final', 'game', 'kobe', 'take']",0,0,0
Death of Thunder part-owner ruled accidental,2016-06-08,"['death', 'thunder', 'partowner', 'ruled', 'accidental']",0,0,0
Predictions: Cavs' odds of beating Warriors?,2016-06-08,"['prediction', 'cavs', 'odds', 'beating', 'warrior']",0,0,2
Love takes part in shootaround before Game 3,2016-06-08,"['love', 'take', 'part', 'shootaround', 'game', '3']",0,0,0
"Richard Jefferson, Cleveland's unlikely social media star",2016-06-08,"['richard', 'jefferson', 'cleveland', 'unlikely', 'social', 'medium', 'star']",0,0,0
Logo and the King: Why Jerry West defends LeBron James,2016-06-08,"['logo', 'king', 'jerry', 'west', 'defends', 'lebron', 'james']",0,0,0
Vote: Showtime Lakers vs. 2015-16 Warriors,2016-06-08,"['vote', 'showtime', 'lakers', 'v', '201516', 'warrior']",0,0,1
Projected No. 1 pick Simmons signs with Nike,2016-06-07,"['projected', '1', 'pick', 'simmons', 'sign', 'nike']",0,0,0
Source: Love optimistic he'll return for Game 3,2016-06-07,"['source', 'love', 'optimistic', 'hell', 'return', 'game', '3']",0,0,0
Kerr 'pleased' Curry electing to sit out Olympics,2016-06-07,"['kerr', 'pleased', 'curry', 'electing', 'sit', 'olympics']",0,0,0
"Citing recent injuries, Curry to skip Rio Olympics",2016-06-07,"['citing', 'recent', 'injury', 'curry', 'skip', 'rio', 'olympics']",0,0,0
Colangelo wants Krzyzewski to succeed him,2016-06-07,"['colangelo', 'want', 'krzyzewski', 'succeed']",0,0,0
Phil: Knicks a playoff team with triangle tweaks,2016-06-07,"['phil', 'knicks', 'playoff', 'team', 'triangle', 'tweak']",0,0,0
Popovich heads Select Team vs. Olympic team,2016-06-07,"['popovich', 'head', 'select', 'team', 'v', 'olympic', 'team']",0,0,1
"Casey signs deal, says Raptors 'closer' to title",2016-06-07,"['casey', 'sign', 'deal', 'say', 'raptor', 'closer', 'title']",0,1,0
A look at LeBron's historic playoff workload,2016-06-07,"['look', 'lebrons', 'historic', 'playoff', 'workload']",0,0,0
"Shaq: Cavaliers need more from Irving, Love",2016-06-07,"['shaq', 'cavalier', 'need', 'irving', 'love']",0,0,0
Magic Johnson helping S.C. State raise $2.5M,2016-06-07,"['magic', 'johnson', 'helping', 'sc', 'state', 'raise', '25m']",0,0,0
Klay Thompson dares you to underestimate him,2016-06-07,"['klay', 'thompson', 'dare', 'underestimate']",0,0,0
Could Celtics trade No. 3 pick for superstar?,2016-06-07,"['could', 'celtic', 'trade', '3', 'pick', 'superstar']",0,0,0
How Cavs can come back and upset Warriors,2016-06-07,"['cavs', 'come', 'back', 'upset', 'warrior']",0,0,2
Aldridge won't bid for Olympics spot; finger cited,2016-06-07,"['aldridge', 'wont', 'bid', 'olympics', 'spot', 'finger', 'cited']",0,0,0
Thunder GM credits Durant for putting team first,2016-06-06,"['thunder', 'gm', 'credit', 'durant', 'putting', 'team', 'first']",0,0,0
Suns' Chandler on future: 'I'm happy where I am',2016-06-06,"['sun', 'chandler', 'future', 'im', 'happy']",0,0,0
PG Rubio open to trade if Wolves miss playoffs,2016-06-06,"['pg', 'rubio', 'open', 'trade', 'wolf', 'miss', 'playoff']",0,0,0
Cavs lose Love in second half from elbow to head,2016-06-06,"['cavs', 'lose', 'love', 'second', 'half', 'elbow', 'head']",0,0,0
The Warriors dominate LeBron like no team has before,2016-06-06,"['warrior', 'dominate', 'lebron', 'like', 'team']",0,0,2
Green shows range as leading man in Warriors' Game 2 win,2016-06-06,"['green', 'show', 'range', 'leading', 'man', 'warrior', 'game', '2', 'win']",0,0,2
Soccer star Neymar hangs with Warriors after Game 2,2016-06-06,"['soccer', 'star', 'neymar', 'hang', 'warrior', 'game', '2']",0,0,2
Irving's offensive approach key to Cavs' Game 2 hopes,2016-06-05,"['irving', 'offensive', 'approach', 'key', 'cavs', 'game', '2', 'hope']",0,0,0
West: Bashing LeBron's Finals record 'ridiculous',2016-06-05,"['west', 'bashing', 'lebrons', 'final', 'record', 'ridiculous']",0,0,0
5-on-5 predictions: Can Cavs get even with Warriors?,2016-06-05,"['5on5', 'prediction', 'cavs', 'get', 'even', 'warrior']",0,0,2
Report: Woman sues Knicks' O'Quinn for assault,2016-06-05,"['report', 'woman', 'sue', 'knicks', 'oquinn', 'assault']",0,0,0
Lue tells LeBron to 'pick up the pace' on offense,2016-06-05,"['lue', 'tell', 'lebron', 'pick', 'pace', 'offense']",0,0,0
Cavs coach backs 'hard-nosed' Delly,2016-06-04,"['cavs', 'coach', 'back', 'hardnosed', 'delly']",0,0,0
"Ali 'a pioneer' for black athletes, LeBron says",2016-06-04,"['ali', 'pioneer', 'black', 'athlete', 'lebron', 'say']",0,0,0
"LeBron is 'the chosen one,' but Steph is truly unprecedented",2016-06-04,"['lebron', 'chosen', 'one', 'steph', 'truly', 'unprecedented']",0,0,0
Is it Steph's world? LeBron hungry to change narrative,2016-06-03,"['stephs', 'world', 'lebron', 'hungry', 'change', 'narrative']",0,0,0
Hornacek to use triangle aspects as Knicks coach,2016-06-03,"['hornacek', 'use', 'triangle', 'aspect', 'knicks', 'coach']",0,0,0
Finals draws ABC's highest Game 1 rating ever,2016-06-03,"['final', 'draw', 'abc', 'highest', 'game', '1', 'rating', 'ever']",0,0,0
Sources: Cavs feel gouged by Warriors' tickets,2016-06-03,"['source', 'cavs', 'feel', 'gouged', 'warrior', 'ticket']",0,1,2
George on Team USA spot: 'To give it a shot',2016-06-03,"['george', 'team', 'usa', 'spot', 'give', 'shot']",0,0,0
"Knicks hire Hornacek, praise hoops acumen",2016-06-03,"['knicks', 'hire', 'hornacek', 'praise', 'hoop', 'acumen']",0,0,0
Iguodala on Dellavedova hit: 'Not going to judge',2016-06-03,"['iguodala', 'dellavedova', 'hit', 'going', 'judge']",0,0,0
Warriors' supporting cast plays winning role,2016-06-03,"['warrior', 'supporting', 'cast', 'play', 'winning', 'role']",0,0,2
LeBron on Warriors: 'Nothing has really changed',2016-06-03,"['lebron', 'warrior', 'nothing', 'really', 'changed']",0,0,2
Steve Kerr smashes clipboard in frustration,2016-06-03,"['steve', 'kerr', 'smash', 'clipboard', 'frustration']",0,0,0
Cavs-Warriors rematch is nothing like what we saw in 2015,2016-06-02,"['cavswarriors', 'rematch', 'nothing', 'like', 'saw', '2015']",0,0,2
Kobe Bryant suits up in full 'Ghostbusters' gear,2016-06-02,"['kobe', 'bryant', 'suit', 'full', 'ghostbusters', 'gear']",0,0,0
Steph's latest form of domination? The world of emoji apps,2016-06-02,"['stephs', 'latest', 'form', 'domination', 'world', 'emoji', 'apps']",0,0,0
Alcides Escobar wears Kyrie Irving jersey during batting practice in Cleveland,2016-06-02,"['alcides', 'escobar', 'wear', 'kyrie', 'irving', 'jersey', 'batting', 'practice', 'cleveland']",0,0,0
Biyombo suspened for opener as flagrant stands,2016-06-02,"['biyombo', 'suspened', 'opener', 'flagrant', 'stand']",0,0,0
Report: Griz hire Bickerstaff as associate coach,2016-06-02,"['report', 'griz', 'hire', 'bickerstaff', 'associate', 'coach']",0,0,0
"Eight years ago, Curry impressed LeBron by torching Wisconsin",2016-06-02,"['eight', 'year', 'ago', 'curry', 'impressed', 'lebron', 'torching', 'wisconsin']",0,0,0
LeBron's Finals record a great accomplishment,2016-06-02,"['lebrons', 'final', 'record', 'great', 'accomplishment']",0,0,0
LeBron-Steph rivalry approaching Magic-Bird territory,2016-06-02,"['lebronsteph', 'rivalry', 'approaching', 'magicbird', 'territory']",0,0,0
"Dirk Nowitzki, Rougned Odor trade playful jabs on Twitter",2016-06-02,"['dirk', 'nowitzki', 'rougned', 'odor', 'trade', 'playful', 'jab', 'twitter']",0,0,0
UA drops Curry-related trademark filings,2016-06-02,"['ua', 'drop', 'curryrelated', 'trademark', 'filing']",0,0,0
"Reports: Raptors, Casey reach 3-year extension",2016-06-02,"['report', 'raptor', 'casey', 'reach', '3year', 'extension']",0,0,0
Will Jeff Hornacek's style play in the Big Apple?,2016-06-02,"['jeff', 'hornaceks', 'style', 'play', 'big', 'apple']",0,0,0
LeBron's struggle to bring Heat culture to the Cavs,2016-06-02,"['lebrons', 'struggle', 'bring', 'heat', 'culture', 'cavs']",0,0,0
"Source: Rockets give D'Antoni 3-year, $15M deal",2016-06-02,"['source', 'rocket', 'give', 'dantoni', '3year', '15m', 'deal']",0,1,0
Experts' predictions: Who's picking the upset?,2016-06-02,"['expert', 'prediction', 'who', 'picking', 'upset']",0,0,0
John Legend to perform anthem at Game 1,2016-06-02,"['john', 'legend', 'perform', 'anthem', 'game', '1']",0,0,0
"LeBron not feeling pressure of Cleveland, legacy",2016-06-02,"['lebron', 'feeling', 'pressure', 'cleveland', 'legacy']",0,0,0
Alexander: D'Antoni hire a dual decision with GM,2016-06-02,"['alexander', 'dantoni', 'hire', 'dual', 'decision', 'gm']",0,0,0
Ex-St. John's G Jordan charged in shooting,2016-06-02,"['exst', 'john', 'g', 'jordan', 'charged', 'shooting']",0,0,0
"Sources: Knicks, Hornacek agree to 3-year deal",2016-06-02,"['source', 'knicks', 'hornacek', 'agree', '3year', 'deal']",0,1,0
Cavaliers must limit number of Warriors' shots to upset them,2016-06-02,"['cavalier', 'must', 'limit', 'number', 'warrior', 'shot', 'upset']",0,0,2
"Cuban stands to profit on Warriors, Sharks titles",2016-06-02,"['cuban', 'stand', 'profit', 'warrior', 'shark', 'title']",0,0,2
Cover boy George: Pacers star new face of 2K17,2016-06-01,"['cover', 'boy', 'george', 'pacer', 'star', 'new', 'face', '2k17']",0,0,0
ESPN Forecast: Predicting who wins Warriors-Cavaliers,2016-06-01,"['espn', 'forecast', 'predicting', 'win', 'warriorscavaliers']",0,0,2
"Celtics extend contracts for Ainge, Stevens",2016-06-01,"['celtic', 'extend', 'contract', 'ainge', 'stevens']",0,0,0
Q&A with Cavaliers coach Tyronn Lue,2016-06-01,"['qa', 'cavalier', 'coach', 'tyronn', 'lue']",0,0,0
Steph Curry and Under Armour's $200M underdog story,2016-06-01,"['steph', 'curry', 'armour', '200m', 'underdog', 'story']",0,0,0
Kings guard Collison arrested on assault charge,2016-06-01,"['king', 'guard', 'collison', 'arrested', 'assault', 'charge']",0,0,0
KD's Thunder teammates optimistic he'll return,2016-06-01,"['kds', 'thunder', 'teammate', 'optimistic', 'hell', 'return']",0,0,0
"Bielema to Hogs: Be little bit Curry, less LeBron",2016-06-01,"['bielema', 'hog', 'little', 'bit', 'curry', 'le', 'lebron']",0,0,0
World Fame 100: Kobe No. 1 in China,2016-06-01,"['world', 'fame', '100', 'kobe', '1', 'china']",0,0,0
Thunder asst. Williams will not return to team,2016-06-01,"['thunder', 'asst', 'williams', 'return', 'team']",0,0,0
Shaquille O'Neal tries to go undercover as Lyft driver,2016-06-01,"['shaquille', 'oneal', 'try', 'go', 'undercover', 'lyft', 'driver']",0,0,0
LeBron: These Cavs 'better built' for Warriors,2016-06-01,"['lebron', 'cavs', 'better', 'built', 'warrior']",0,0,2
Playoff MVP race: LeBron or Steph at No. 1?,2016-06-01,"['playoff', 'mvp', 'race', 'lebron', 'steph', '1']",0,0,0
Major sports milestones since Deflategate began,2016-06-01,"['major', 'sport', 'milestone', 'since', 'deflategate', 'began']",0,0,0
Warriors' Barnes: 'No idea' on Game 1 start,2016-06-01,"['warrior', 'barnes', 'idea', 'game', '1', 'start']",0,0,2
Blatt reportedly near deal to coach in Turkey,2016-06-01,"['blatt', 'reportedly', 'near', 'deal', 'coach', 'turkey']",0,1,0
Bogut plays in game for first time since injury,2016-07-31,"['bogut', 'play', 'game', 'first', 'time', 'since', 'injury']",0,0,0
"The Undefeated presents: A Playoff Diary with Draymond Green, Part 9",2016-07-31,"['undefeated', 'present', 'playoff', 'diary', 'draymond', 'green', 'part', '9']",0,0,0
